LEGNICA,2017,1,2,-0.1,0.3,2017-1-2
LEGNICA,2017,1,3,1.0,2.0,2017-1-3
LEGNICA,2017,1,4,1.9,0.7,2017-1-4
LEGNICA,2017,1,5,-2.7,0.0,2017-1-5
LEGNICA,2017,1,6,-7.3,0.0,2017-1-6
LEGNICA,2017,1,7,-8.5,0.5,2017-1-7
LEGNICA,2017,1,8,-8.1,0.0,2017-1-8
LEGNICA,2017,1,9,-4.7,0.0,2017-1-9
LEGNICA,2017,1,10,-5.0,0.0,2017-1-10
LEGNICA,2017,1,11,-4.8,1.1,2017-1-11
LEGNICA,2017,1,12,3.1,0.1,2017-1-12
LEGNICA,2017,1,13,2.7,0.2,2017-1-13
LEGNICA,2017,1,14,-0.3,1.1,2017-1-14
LEGNICA,2017,1,15,0.3,0.2,2017-1-15
LEGNICA,2017,1,16,-1.4,1.1,2017-1-16
LEGNICA,2017,1,17,-2.5,0.1,2017-1-17
LEGNICA,2017,1,18,-5.4,0.0,2017-1-18
LEGNICA,2017,1,19,-7.0,0.0,2017-1-19
LEGNICA,2017,1,20,-1.0,0.0,2017-1-20
LEGNICA,2017,1,21,-1.7,0.0,2017-1-21
LEGNICA,2017,1,22,-2.8,0.0,2017-1-22
LEGNICA,2017,1,23,-4.1,0.0,2017-1-23
LEGNICA,2017,1,24,-4.0,0.0,2017-1-24
LEGNICA,2017,1,25,-1.2,0.0,2017-1-25
LEGNICA,2017,1,26,-0.7,0.0,2017-1-26
LEGNICA,2017,1,27,-3.7,0.0,2017-1-27
LEGNICA,2017,1,28,-6.9,0.0,2017-1-28
LEGNICA,2017,1,29,-5.0,0.0,2017-1-29
LEGNICA,2017,1,30,-2.9,0.0,2017-1-30
LEGNICA,2017,1,31,-1.7,0.5,2017-1-31
LEGNICA,2017,2,1,-1.7,0.0,2017-2-1
LEGNICA,2017,2,2,-4.7,8.2,2017-2-2
LEGNICA,2017,2,3,0.1,0.0,2017-2-3
LEGNICA,2017,2,4,1.1,1.6,2017-2-4
LEGNICA,2017,2,5,1.2,0.0,2017-2-5
LEGNICA,2017,2,6,-1.5,0.0,2017-2-6
LEGNICA,2017,2,7,-2.3,0.0,2017-2-7
LEGNICA,2017,2,8,-5.4,0.0,2017-2-8
LEGNICA,2017,2,9,-5.3,0.0,2017-2-9
LEGNICA,2017,2,10,-3.4,0.1,2017-2-10
